FID	IID	Sex
S29723	S29723	2
S29379	S29379	1
S29346	S29346	1
S29721	S29721	2
S29730	S29730	1
S28985	S28985	1
S29484	S29484	2
S29853	S29853	1
S29606	S29606	1
S29531	S29531	2
S29517	S29517	2
S29438	S29438	1
S29421	S29421	1
S29391	S29391	1
S29433	S29433	2
S29318	S29318	1
S29358	S29358	1
S29516	S29516	2
S29669	S29669	1
S29558	S29558	1
S29461	S29461	1
S29514	S29514	2
S29596	S29596	1
S29523	S29523	1
S29700	S29700	1
S29371	S29371	1
S29345	S29345	1
S29640	S29640	1
S29369	S29369	1
S29657	S29657	1
S29312	S29312	1
S29340	S29340	1
S29110	S29110	2
S29622	S29622	1
S29875	S29875	1
S29670	S29670	1
S29862	S29862	1
S29884	S29884	1
S29519	S29519	2
S29475	S29475	1
S29656	S29656	1
S29481	S29481	1
S29851	S29851	1
S29731	S29731	1
S29728	S29728	1
S29352	S29352	2
S29510	S29510	1
S29632	S29632	2
S29917	S29917	1
S29476	S29476	2
S29376	S29376	1
S29405	S29405	1
S29630	S29630	1
S29627	S29627	2
S29543	S29543	2
S29637	S29637	2
S29388	S29388	2
S29551	S29551	1
S29574	S29574	2
S29537	S29537	1
S29363	S29363	2
S29974	S29974	1
S29850	S29850	1
S29945	S29945	1
S29847	S29847	1
S29969	S29969	1
S29901	S29901	1
S29860	S29860	1
S29571	S29571	2
S29526	S29526	1
S29355	S29355	1
S29727	S29727	1
S29478	S29478	1
S29487	S29487	1
S29676	S29676	1
S29483	S29483	1
S29491	S29491	2
S29665	S29665	2
S29387	S29387	2
S29328	S29328	2
S29590	S29590	2
S29675	S29675	1
S29583	S29583	1
S29603	S29603	1
S29389	S29389	1
S28910	S28910	1
S29886	S29886	1
S29957	S29957	2
S29533	S29533	1
S29979	S29979	1
S29587	S29587	2
S29459	S29459	1
S29635	S29635	1
S29576	S29576	2
S29881	S29881	2
S29579	S29579	1
S29553	S29553	2
S29954	S29954	2
S29534	S29534	2
S29425	S29425	1
S29550	S29550	1
S29465	S29465	1
S29679	S29679	1
S29360	S29360	2
S29539	S29539	2
S29573	S29573	1
S29998	S29998	1
S29950	S29950	1
S29565	S29565	1
S29327	S29327	2
S29879	S29879	2
S29663	S29663	1
S29633	S29633	1
S29584	S29584	2
S29725	S29725	2
S29564	S29564	2
S29724	S29724	2
S29351	S29351	1
S29154	S29154	1
S29600	S29600	1
S29922	S29922	2
S29599	S29599	1
S29980	S29980	1
S29492	S29492	1
S29528	S29528	2
S29973	S29973	2
S29619	S29619	1
S29427	S29427	2
S29365	S29365	2
S29335	S29335	1
S29582	S29582	1
S29668	S29668	1
S29655	S29655	1
S29649	S29649	1
S29392	S29392	1
S29687	S29687	1
S29330	S29330	2
S29348	S29348	1
S29099	S29099	1
S29238	S29238	1
S28840	S28840	1
S29949	S29949	1
S29493	S29493	2
S29317	S29317	2
S29435	S29435	2
S29349	S29349	1
S29844	S29844	1
S29849	S29849	1
S29572	S29572	2
S29395	S29395	2
S29488	S29488	2
S29344	S29344	2
S29601	S29601	1
S29586	S29586	1
S29567	S29567	1
S29653	S29653	1
S29065	S29065	2
S29415	S29415	1
S29913	S29913	1
S29429	S29429	1
S29618	S29618	1
S29568	S29568	1
S29651	S29651	1
S29909	S29909	1
S29683	S29683	2
S29674	S29674	1
S29372	S29372	1
S29354	S29354	2
S29896	S29896	1
S29545	S29545	2
S29711	S29711	1
S29597	S29597	1
S29442	S29442	2
S29577	S29577	2
S29353	S29353	1
S29135	S29135	1
S29420	S29420	1
S29486	S29486	2
S29472	S29472	1
S29900	S29900	2
S29460	S29460	2
S29549	S29549	2
S29702	S29702	2
S29409	S29409	1
S29607	S29607	1
S29402	S29402	2
S29322	S29322	1
S28942	S28942	1
S28901	S28901	0
S29489	S29489	2
S29885	S29885	1
S29682	S29682	2
S29704	S29704	1
S29373	S29373	1
S29390	S29390	1
S28979	S28979	1
S29025	S29025	1
S29458	S29458	1
S29889	S29889	2
S29331	S29331	1
S29311	S29311	1
S28690	S28690	2
S29091	S29091	1
S29453	S29453	2
S29367	S29367	1
S29380	S29380	2
S28881	S28881	1
S28789	S28789	1
S29497	S29497	1
S29595	S29595	2
S29646	S29646	1
S29560	S29560	1
S29661	S29661	1
S29350	S29350	1
S28691	S28691	2
S28857	S28857	1
S28870	S28870	1
S29701	S29701	2
S29407	S29407	2
S29404	S29404	2
S28717	S28717	1
S28666	S28666	2
S28846	S28846	2
S28716	S28716	1
S28986	S28986	2
S28715	S28715	1
S28774	S28774	1
S29857	S29857	1
S29894	S29894	1
S29685	S29685	1
S29336	S29336	1
S28692	S28692	2
S28824	S28824	1
S28712	S28712	2
S28991	S28991	2
S28791	S28791	1
S28935	S28935	2
S29691	S29691	1
S29455	S29455	1
S29377	S29377	2
S29338	S29338	1
S29378	S29378	1
S29106	S29106	1
S28696	S28696	2
S28694	S28694	2
S28953	S28953	1
S29008	S29008	1
S28793	S28793	1
S29712	S29712	1
S29869	S29869	1
S29382	S29382	2
S29341	S29341	1
S29499	S29499	2
S28686	S28686	2
S28758	S28758	1
S28770	S28770	1
S28866	S28866	1
S28843	S28843	1
S28814	S28814	1
S28889	S28889	1
S29033	S29033	1
S28886	S28886	2
S28725	S28725	2
S28796	S28796	1
S28938	S28938	2
S29521	S29521	1
S29524	S29524	1
S29626	S29626	2
S29370	S29370	1
S29384	S29384	1
S28874	S28874	1
S28695	S28695	2
S28688	S28688	2
S28965	S28965	1
S28841	S28841	1
S28943	S28943	1
S28930	S28930	1
S28792	S28792	1
S29690	S29690	1
S29645	S29645	2
S28968	S28968	1
S28825	S28825	1
S29177	S29177	2
S28680	S28680	2
S28667	S28667	2
S28681	S28681	2
S28839	S28839	1
S28763	S28763	1
S28828	S28828	1
S28850	S28850	1
S28720	S28720	2
S28752	S28752	2
S29090	S29090	1
S28771	S28771	1
S29707	S29707	1
S28802	S28802	1
S28920	S28920	1
S28665	S28665	1
S28693	S28693	2
S28685	S28685	2
S29203	S29203	1
S28672	S28672	2
S28687	S28687	2
S28799	S28799	1
S28899	S28899	1
S29022	S29022	1
S28739	S28739	2
S28735	S28735	2
S29037	S29037	2
S29066	S29066	1
S28683	S28683	2
S28674	S28674	2
S28684	S28684	1
